t_seconds,util,power,temp
0.06234145164489746,0.0,5.27,38.0
0.6194686889648438,0.0,8.8,38.0
1.21272873878479,47.0,98.74,48.0
1.7936091423034668,46.0,171.71,52.0
2.402373790740967,46.0,212.92,51.0
2.9743521213531494,49.0,216.82,51.0
3.5298349857330322,45.0,217.6,52.0
4.085395097732544,49.0,215.37,54.0
4.639832973480225,35.0,116.54,49.0
5.202739953994751,38.0,135.44,48.0
5.761753082275391,36.0,167.38,50.0
6.330370903015137,33.0,156.07,47.0
6.918791770935059,32.0,138.8,46.0
7.4901111125946045,36.0,131.23,47.0
8.05933141708374,31.0,124.39,46.0
8.619454860687256,49.0,118.88,49.0
9.193790912628174,30.0,132.88,47.0
9.760626077651978,47.0,167.95,53.0
10.330576181411743,47.0,202.7,54.0
10.900252342224121,46.0,214.44,52.0
11.458208322525024,46.0,214.64,55.0
12.012809753417969,48.0,215.85,55.0
12.580491781234741,46.0,216.72,53.0
13.135854005813599,46.0,215.73,55.0
13.704457998275757,48.0,213.94,54.0
14.261945486068726,46.0,214.41,55.0
14.824342489242554,46.0,217.99,54.0
15.443792581558228,44.0,215.21,52.0
16.0598623752594,46.0,211.62,54.0
16.623847484588623,56.0,227.39,56.0
17.182066440582275,59.0,276.99,59.0
17.738473892211914,66.0,269.83,58.0
18.2948317527771,61.0,268.39,58.0
18.858089923858643,60.0,269.81,59.0
19.428324460983276,62.0,269.03,60.0
20.021282196044922,65.0,267.51,60.0
20.579132795333862,61.0,266.52,60.0
21.142651557922363,62.0,268.32,58.0
21.711591958999634,61.0,269.38,59.0
22.28372883796692,65.0,270.82,59.0
22.858276844024658,59.0,268.54,58.0
23.416649103164673,58.0,266.19,61.0
23.979161739349365,64.0,266.36,59.0
24.53558611869812,61.0,268.3,61.0
25.136134386062622,67.0,267.91,59.0
25.69184446334839,62.0,270.22,59.0
26.26129388809204,64.0,272.38,62.0
26.820828914642334,44.0,249.75,57.0
27.392508029937744,52.0,227.49,59.0
27.95169448852539,49.0,219.16,58.0
28.522672176361084,48.0,220.92,59.0
29.09637212753296,44.0,219.85,57.0
29.6727876663208,44.0,218.64,59.0
30.238862991333008,45.0,220.22,58.0
30.81074595451355,46.0,221.48,58.0
31.387935400009155,48.0,220.43,57.0
31.948848485946655,47.0,219.06,58.0
32.518091678619385,47.0,221.59,57.0
33.07947373390198,50.0,222.29,57.0
33.639514684677124,49.0,221.09,59.0
34.19889736175537,49.0,220.84,57.0
34.75234508514404,47.0,217.54,58.0
35.31389927864075,48.0,219.0,57.0
35.87334132194519,46.0,220.24,60.0
36.429702281951904,48.0,220.76,57.0
37.00281286239624,50.0,220.85,59.0
37.589372873306274,48.0,222.49,58.0
38.17710018157959,50.0,218.41,60.0
38.748900175094604,51.0,218.11,59.0
39.31829643249512,48.0,220.89,59.0
39.89270544052124,46.0,216.83,58.0
40.46207809448242,50.0,217.68,61.0
41.034252643585205,48.0,220.53,60.0
41.59148812294006,48.0,220.42,59.0
42.15991950035095,50.0,222.46,58.0
42.71998119354248,63.0,252.85,64.0
43.309550285339355,70.0,284.57,64.0
43.86834955215454,69.0,282.76,63.0
44.44591665267944,74.0,276.75,62.0
45.01500630378723,61.0,272.85,63.0
45.57185673713684,64.0,273.29,63.0
46.13342642784119,59.0,270.27,63.0
46.70920968055725,56.0,275.96,63.0
47.27734375,64.0,276.45,64.0
47.83509969711304,71.0,270.69,64.0
48.41137099266052,63.0,271.03,63.0
48.97141718864441,63.0,272.41,64.0
49.52958965301514,61.0,268.36,63.0
50.08797073364258,65.0,269.67,65.0
50.663493633270264,59.0,275.4,63.0
51.21904277801514,61.0,273.3,62.0
51.779836893081665,65.0,269.78,61.0
52.349597692489624,63.0,272.63,65.0
52.91200637817383,65.0,274.89,65.0
53.46893072128296,64.0,276.74,64.0
54.03015851974487,61.0,276.75,63.0
54.58598351478577,62.0,274.72,64.0
55.1481146812439,63.0,271.61,65.0
55.71866273880005,60.0,271.36,64.0
56.2934844493866,62.0,272.23,64.0
56.855984687805176,62.0,275.82,64.0
57.41585087776184,60.0,273.94,67.0
57.969754457473755,62.0,272.2,66.0
58.53083038330078,66.0,273.2,63.0
59.109867095947266,58.0,271.26,63.0
59.674949169158936,62.0,272.61,62.0
