t_seconds,util,power,temp
0.06234145164489746,12.0,15.71,43.0
0.6194686889648438,1.0,38.3,44.0
1.21272873878479,56.0,91.34,53.0
1.7936091423034668,51.0,169.61,55.0
2.402373790740967,54.0,225.46,54.0
2.9743521213531494,54.0,231.55,55.0
3.5298349857330322,55.0,233.89,53.0
4.085395097732544,51.0,230.23,55.0
4.639832973480225,69.0,277.59,56.0
5.202739953994751,64.0,292.64,58.0
5.761753082275391,65.0,286.46,57.0
6.330370903015137,64.0,284.43,58.0
6.918791770935059,70.0,286.46,58.0
7.4901111125946045,65.0,282.84,58.0
8.05933141708374,67.0,281.39,56.0
8.619454860687256,76.0,282.83,59.0
9.193790912628174,70.0,285.8,61.0
9.760626077651978,52.0,270.53,57.0
10.330576181411743,52.0,245.87,56.0
10.900252342224121,52.0,231.89,56.0
11.458208322525024,51.0,230.74,56.0
12.012809753417969,52.0,231.92,55.0
12.580491781234741,51.0,233.66,55.0
13.135854005813599,51.0,231.96,57.0
13.704457998275757,51.0,229.23,57.0
14.261945486068726,52.0,230.83,56.0
14.824342489242554,54.0,233.55,56.0
15.443792581558228,51.0,231.61,56.0
16.0598623752594,50.0,226.71,56.0
16.623847484588623,1.0,111.51,48.0
17.182066440582275,62.0,116.7,58.0
17.738473892211914,59.0,187.73,57.0
18.2948317527771,52.0,235.11,58.0
18.858089923858643,45.0,231.52,57.0
19.428324460983276,36.0,217.98,58.0
20.021282196044922,48.0,217.95,57.0
20.579132795333862,49.0,222.93,57.0
21.142651557922363,58.0,233.4,59.0
21.711591958999634,54.0,226.38,58.0
22.28372883796692,55.0,225.25,57.0
22.858276844024658,51.0,223.62,58.0
23.416649103164673,56.0,221.38,59.0
23.979161739349365,56.0,230.6,57.0
24.53558611869812,52.0,233.76,59.0
25.136134386062622,48.0,234.25,59.0
25.69184446334839,53.0,230.62,58.0
26.26129388809204,42.0,224.88,58.0
26.820828914642334,52.0,225.36,60.0
27.392508029937744,57.0,237.76,59.0
27.95169448852539,56.0,235.24,59.0
28.522672176361084,56.0,235.8,59.0
29.09637212753296,54.0,235.16,58.0
29.6727876663208,51.0,234.59,59.0
30.238862991333008,51.0,236.0,57.0
30.81074595451355,54.0,236.27,59.0
31.387935400009155,54.0,235.03,58.0
31.948848485946655,53.0,233.09,58.0
32.518091678619385,53.0,235.71,60.0
33.07947373390198,52.0,237.06,60.0
33.639514684677124,50.0,236.33,60.0
34.19889736175537,53.0,235.35,60.0
34.75234508514404,50.0,231.67,58.0
35.31389927864075,53.0,233.56,61.0
35.87334132194519,50.0,235.47,59.0
36.429702281951904,51.0,235.35,61.0
37.00281286239624,54.0,236.16,61.0
37.589372873306274,50.0,237.38,60.0
38.17710018157959,55.0,232.57,61.0
38.748900175094604,55.0,232.67,61.0
39.31829643249512,51.0,236.13,60.0
39.89270544052124,47.0,231.76,61.0
40.46207809448242,54.0,232.68,62.0
41.034252643585205,53.0,235.13,60.0
41.59148812294006,52.0,236.12,62.0
42.15991950035095,51.0,237.82,62.0
42.71998119354248,2.0,164.94,52.0
43.309550285339355,2.0,92.4,52.0
43.86834955215454,51.0,146.24,61.0
44.44591665267944,46.0,211.41,58.0
45.01500630378723,57.0,227.52,63.0
45.57185673713684,39.0,229.53,58.0
46.13342642784119,49.0,229.68,60.0
46.70920968055725,51.0,227.82,62.0
47.27734375,54.0,220.33,60.0
47.83509969711304,42.0,231.19,59.0
48.41137099266052,52.0,240.52,63.0
48.97141718864441,39.0,234.89,58.0
49.52958965301514,52.0,234.21,59.0
50.08797073364258,53.0,227.53,62.0
50.663493633270264,50.0,233.21,63.0
51.21904277801514,53.0,238.23,63.0
51.779836893081665,52.0,242.61,63.0
52.349597692489624,54.0,242.02,63.0
52.91200637817383,54.0,231.5,61.0
53.46893072128296,49.0,226.41,60.0
54.03015851974487,53.0,237.77,60.0
54.58598351478577,39.0,226.27,59.0
55.1481146812439,56.0,226.86,64.0
55.71866273880005,54.0,233.02,63.0
56.2934844493866,36.0,228.27,61.0
56.855984687805176,51.0,234.16,62.0
57.41585087776184,55.0,229.63,64.0
57.969754457473755,49.0,231.11,63.0
58.53083038330078,46.0,234.56,63.0
59.109867095947266,54.0,238.7,64.0
59.674949169158936,52.0,235.71,64.0
